K00259	ald; alanine dehydrogenase [EC:1.4.1.1]
K22602	hpxW; oxamate amidohydrolase [EC:3.5.1.126]
K23123	pxpB; 5-oxoprolinase (ATP-hydrolysing) subunit B [EC:3.5.2.9]
K23124	pxpC; 5-oxoprolinase (ATP-hydrolysing) subunit C [EC:3.5.2.9]
K23150	E3.5.1.129; N5-(cytidine 5'-diphosphoramidyl)-L-glutamine hydrolase [EC:3.5.1.129]
K23359	biuH; biuret amidohydrolase [EC:3.5.1.84]
K23465	tgnD; (E)-2-((N-methylformamido)methylene)succinate hydrolase [EC:3.5.1.-]
K23726	agaA; Nalpha-acyl-L-glutamine aminoacylase [EC:3.5.1.133]
K24041	yxeI; penicillin V amidase [EC:3.5.1.11]
K24076	PGRP-LB; peptidoglycan-recognition protein LB [EC:3.5.1.28]
K24096	PGRP-SB; peptidoglycan recognition protein SB [EC:3.5.1.28]
K24153	blaOXY; beta-lactamase class A OXY [EC:3.5.2.6]
K24159	blaLAP; beta-lactamase class A LAP [EC:3.5.2.6]
K24161	blaGOP; beta-lactamase class B GOB [EC:3.5.2.6]
K24162	blaBlaB; beta-lactamase class B BlaB [EC:3.5.2.6]
K24669	PADI4, PAD4; protein-arginine deiminase 4 [EC:3.5.3.15]
K25305	dmfA1; N,N-dimethylformamidase small subunit [EC:3.5.1.56]
K25365	gbh; guanidinobutyrase / D-arginase [EC:3.5.3.7 3.5.3.10]
K25379	iaaH; indole-3-acetyl-L-aspartate hydrolase [EC:3.5.1.134]
K25604	E3.5.1.137; N-methylcarbamate hydrolase [EC:3.5.1.137]
K01744	aspA; aspartate ammonia-lyase [EC:4.3.1.1]
K01745	hutH, HAL; histidine ammonia-lyase [EC:4.3.1.3]
K01746	E4.3.1.4; formiminotetrahydrofolate cyclodeaminase [EC:4.3.1.4]
K01750	E4.3.1.12, ocd; ornithine cyclodeaminase [EC:4.3.1.12]
K01751	E4.3.1.15; diaminopropionate ammonia-lyase [EC:4.3.1.15]
K01752	E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase [EC:4.3.1.17]
K01753	dsdA; D-serine dehydratase [EC:4.3.1.18]
K01754	E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]
K03735	eutB; ethanolamine ammonia-lyase large subunit [EC:4.3.1.7]
K03736	eutC; ethanolamine ammonia-lyase small subunit [EC:4.3.1.7]
K04835	mal; methylaspartate ammonia-lyase [EC:4.3.1.2]
K10774	E4.3.1.23; tyrosine ammonia-lyase [EC:4.3.1.23]
K10775	PAL; phenylalanine ammonia-lyase [EC:4.3.1.24]
K11780	cofG; 7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase [EC:4.3.1.32]
K13064	PTAL; phenylalanine/tyrosine ammonia-lyase [EC:4.3.1.25]
K13309	desII, eryCV; dTDP-4-amino-4,6-dideoxy-D-glucose ammonia-lyase [EC:4.3.1.30]
K17468	dgaE; D-glucosaminate-6-phosphate ammonia-lyase [EC:4.3.1.29]
K17989	SDS, SDH, CHA1; L-serine/L-threonine ammonia-lyase [EC:4.3.1.17 4.3.1.19]
K18014	Kal; 3-aminobutyryl-CoA ammonia-lyase [EC:4.3.1.14]
K20498	DSD1; D-serine ammonia-lyase [EC:4.3.1.18]
K20500	rapL; L-lysine cyclodeaminase [EC:4.3.1.28]
K20757	dthadh; threo-3-hydroxy-D-aspartate ammonia-lyase [EC:4.3.1.27]
K22345	E4.3.1.9; glucosaminate ammonia-lyase [EC:4.3.1.9]
K22589	thadh; threo-3-hydroxy-L-aspartate ammonia-lyase [EC:4.3.1.16]
